epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8941,1.90452,3.60087,1.67045,0.00407,0.94506,0.23288,0.10127,1.4378,3.80569,1.50379,0.00018337,0.00018337,0.00018337
2,178.378,1.59608,2.70358,1.43418,0.00423,0.97839,0.31427,0.1562,1.37424,3.59203,1.33057,0.000375818,0.000375818,0.000375818
3,269.435,1.60445,2.46403,1.38698,0.00409,0.94845,0.39704,0.15543,1.75276,3.62703,1.51676,0.000560345,0.000560345,0.000560345
4,376.113,1.59489,2.47775,1.39697,0.50973,0.11379,0.32133,0.12933,1.74053,3.50512,1.5168,0.000736951,0.000736951,0.000736951
5,478.461,1.61782,2.49283,1.42233,0.42552,0.31501,0.28938,0.11814,1.78403,3.34393,1.51878,0.000905634,0.000905634,0.000905634
6,558.601,1.57788,2.34166,1.44227,0.42031,0.39078,0.30861,0.12424,1.80236,3.21048,1.56567,0.0010664,0.0010664,0.0010664
7,635.146,1.59908,2.26178,1.40687,0.36534,0.48971,0.406,0.16522,1.76467,2.96528,1.61495,0.00121924,0.00121924,0.00121924
8,711.838,1.63434,2.20444,1.43852,0.51907,0.47687,0.48142,0.18955,1.72962,2.83139,1.69629,0.00136416,0.00136416,0.00136416
9,788.47,1.63121,2.095,1.39605,0.4472,0.51397,0.45109,0.1787,1.73354,3.12047,1.6357,0.00140295,0.00140295,0.00140295
10,865.281,1.628,2.08892,1.42703,0.50994,0.49598,0.4646,0.19706,1.76403,3.3502,1.6642,0.00136994,0.00136994,0.00136994
11,939.798,1.62179,1.98441,1.4249,0.53488,0.43768,0.45408,0.21563,1.64852,3.258,1.5212,0.00133693,0.00133693,0.00133693
12,1014.5,1.51912,1.85849,1.36763,0.57374,0.40332,0.40945,0.1919,1.89069,2.9014,1.7734,0.00130393,0.00130393,0.00130393
13,1089.75,1.58419,1.95668,1.40745,0.57194,0.52257,0.5,0.23972,1.53084,2.34608,1.45697,0.00127092,0.00127092,0.00127092
14,1162.89,1.54832,1.87761,1.38882,0.64502,0.55509,0.61709,0.3153,1.60954,2.14373,1.4675,0.00123791,0.00123791,0.00123791
15,1236.95,1.49085,1.70134,1.33164,0.63805,0.55354,0.61859,0.33416,1.55528,2.14883,1.41012,0.00120491,0.00120491,0.00120491
16,1311.25,1.52569,1.7418,1.37403,0.67668,0.59207,0.67345,0.3636,1.53114,2.21781,1.39922,0.0011719,0.0011719,0.0011719
17,1386.17,1.41169,1.71575,1.36409,0.73616,0.63154,0.72993,0.39123,1.50403,1.91782,1.38841,0.00113889,0.00113889,0.00113889
18,1462.46,1.55236,1.70064,1.41472,0.64414,0.68509,0.72603,0.36866,1.57065,2.0258,1.36328,0.00110589,0.00110589,0.00110589
19,1538.9,1.50576,1.61105,1.30022,0.60433,0.72616,0.67522,0.33627,1.49887,2.17922,1.3314,0.00107288,0.00107288,0.00107288
20,1614.54,1.42738,1.58354,1.30402,0.77155,0.84256,0.88301,0.49095,1.31572,1.63849,1.23392,0.00103987,0.00103987,0.00103987
21,1690.26,1.43805,1.5576,1.33245,0.74861,0.72698,0.83592,0.47454,1.31828,1.88199,1.17817,0.00100687,0.00100687,0.00100687
22,1765.68,1.39399,1.47388,1.27829,0.64721,0.6905,0.72732,0.40669,1.41601,1.90278,1.27845,0.000973861,0.000973861,0.000973861
23,1840.61,1.41646,1.46506,1.29766,0.79898,0.83496,0.90811,0.53875,1.321,1.48025,1.22968,0.000940855,0.000940855,0.000940855
24,1914.83,1.38815,1.44616,1.3115,0.8367,0.83861,0.9125,0.56947,1.21084,1.39211,1.13877,0.000907848,0.000907848,0.000907848
25,1989.51,1.3613,1.38789,1.25095,0.78939,0.80817,0.87374,0.54049,1.24325,1.4213,1.15811,0.000874842,0.000874842,0.000874842
26,2064.31,1.36102,1.33669,1.27356,0.85017,0.87504,0.94248,0.59983,1.24228,1.26681,1.14519,0.000841835,0.000841835,0.000841835
27,2138.94,1.3676,1.36025,1.2898,0.91945,0.84453,0.92845,0.56724,1.31607,1.31381,1.16751,0.000808828,0.000808828,0.000808828
28,2213.64,1.30653,1.27297,1.23078,0.94053,0.93085,0.96795,0.63692,1.16279,1.15686,1.09981,0.000775822,0.000775822,0.000775822
29,2288.56,1.32137,1.25306,1.22213,0.93102,0.91533,0.97129,0.62352,1.17601,1.16799,1.10252,0.000742815,0.000742815,0.000742815
30,2364.18,1.32399,1.28551,1.25282,0.91344,0.91275,0.97244,0.63112,1.13262,1.11329,1.09379,0.000709809,0.000709809,0.000709809
31,2439.55,1.30889,1.23602,1.21688,0.94029,0.92261,0.98119,0.64958,1.12302,1.05261,1.08524,0.000676802,0.000676802,0.000676802
32,2514.04,1.27946,1.22058,1.20035,0.94032,0.94871,0.98503,0.62863,1.19565,1.05328,1.1052,0.000643795,0.000643795,0.000643795
33,2588.98,1.26401,1.18503,1.21408,0.94552,0.95756,0.98387,0.66744,1.10128,0.98659,1.07058,0.000610789,0.000610789,0.000610789
34,2666.96,1.27858,1.16349,1.20928,0.94712,0.97448,0.98607,0.67267,1.04665,0.96706,1.0464,0.000577782,0.000577782,0.000577782
35,2742.06,1.23494,1.11972,1.16193,0.96129,0.95823,0.98756,0.68434,1.04763,0.94401,1.04242,0.000544776,0.000544776,0.000544776
36,2818.67,1.19441,1.10198,1.16419,0.97305,0.93083,0.98545,0.68362,1.03411,0.92831,1.03254,0.000511769,0.000511769,0.000511769
37,2892.97,1.21622,1.08362,1.15569,0.95173,0.95765,0.98817,0.71128,0.97172,0.90952,1.01106,0.000478762,0.000478762,0.000478762
38,2967.86,1.24683,1.08352,1.19605,0.96043,0.98282,0.98868,0.69954,0.97824,0.88757,1.01067,0.000445756,0.000445756,0.000445756
39,3041.93,1.19677,1.0787,1.16206,0.98412,0.97006,0.99119,0.72129,0.92955,0.86687,0.991,0.000412749,0.000412749,0.000412749
40,3117.24,1.17621,1.03475,1.1472,0.97779,0.94853,0.99007,0.73375,0.91564,0.85227,0.98695,0.000379743,0.000379743,0.000379743
41,3191.5,1.10512,1.09086,1.15491,0.9585,0.98001,0.98828,0.7125,0.99071,0.88427,0.99428,0.000346736,0.000346736,0.000346736
42,3268.32,1.01205,0.99629,1.08922,0.9728,0.97184,0.98949,0.72599,0.95423,0.90886,0.9878,0.000313729,0.000313729,0.000313729
43,3341.99,1.01153,0.96493,1.07731,0.97392,0.97474,0.99142,0.75483,0.88582,0.84487,0.96073,0.000280723,0.000280723,0.000280723
44,3415.92,0.99059,0.92316,1.06477,0.97892,0.98724,0.99217,0.75027,0.89245,0.80466,0.96661,0.000247716,0.000247716,0.000247716
45,3489.83,0.94242,0.8945,1.037,0.98556,0.98025,0.99192,0.75086,0.89903,0.79869,0.96675,0.00021471,0.00021471,0.00021471
46,3564.55,0.90599,0.8887,1.01967,0.98495,0.98863,0.99179,0.77966,0.82724,0.77926,0.94855,0.000181703,0.000181703,0.000181703
47,3638.87,0.92036,0.85089,1.02164,0.98177,0.98838,0.99166,0.77811,0.80693,0.76383,0.94054,0.000148696,0.000148696,0.000148696
48,3717.81,0.90555,0.85078,1.01134,0.99138,0.98866,0.99182,0.78797,0.79584,0.74851,0.9344,0.00011569,0.00011569,0.00011569
49,3794.88,0.91292,0.83394,1.00932,0.98778,0.9911,0.99174,0.79364,0.76255,0.73378,0.9254,8.26832e-05,8.26832e-05,8.26832e-05
50,3873.48,0.86916,0.82945,1.00199,0.99329,0.99047,0.99186,0.80774,0.73909,0.72102,0.91908,4.96766e-05,4.96766e-05,4.96766e-05
